Sno,Date,Time,State/UnionTerritory,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed,Sno_x,NumPrimaryHealthCenters_HMIS,NumCommunityHealthCenters_HMIS,NumSubDistrictHospitals_HMIS,NumDistrictHospitals_HMIS,TotalPublicHealthFacilities_HMIS,NumPublicBeds_HMIS,NumRuralHospitals_NHP18,NumRuralBeds_NHP18,NumUrbanHospitals_NHP18,NumUrbanBeds_NHP18,Sno_y,Population,Rural population,Urban population,Area,Density,Gender Ratio
619,04-04-2020,6:00 PM,Andhra Pradesh,-,-,1,1,161,2,1417,198,31,20,1666,60799,193,6480,65,16658,10,49577103,34966693,14610410,"162,968 km2 (62,922 sq mi)",303/km2 (780/sq mi),993
620,04-04-2020,6:00 PM,Andaman and Nicobar Islands,-,-,0,0,10,,,,,,,,,,,,,,,,,,
621,04-04-2020,6:00 PM,Arunachal Pradesh,-,-,0,0,1,3,122,62,,15,199,2320,208,2136,10,268,26,1383727,1066358,317369,"83,743 km2 (32,333 sq mi)",17/km2 (44/sq mi),938
622,04-04-2020,6:00 PM,Assam,-,-,0,0,24,4,1007,166,14,33,1220,19115,1176,10944,50,6198,15,31205576,26807034,4398542,"78,438 km2 (30,285 sq mi)","397/km2 (1,030/sq mi)",954
623,04-04-2020,6:00 PM,Bihar,-,-,0,1,30,5,2007,63,33,43,2146,17796,930,6083,103,5936,3,104099452,92341436,11758016,"94,163 km2 (36,357 sq mi)","1,102/km2 (2,850/sq mi)",918
624,04-04-2020,6:00 PM,Chandigarh,-,-,0,0,18,6,40,2,1,4,47,3756,0,0,4,778,32,1055450,28991,1026459,114 km2 (44 sq mi),"9,252/km2 (23,960/sq mi)",818
625,04-04-2020,6:00 PM,Chhattisgarh,-,-,3,0,9,7,813,166,12,32,1023,14354,169,5070,45,4342,17,25545198,19607961,5937237,"135,191 km2 (52,198 sq mi)",189/km2 (490/sq mi),991
626,04-04-2020,6:00 PM,Delhi,-,-,15,6,445,10,534,25,9,47,615,20572,0,0,109,24383,29,16787941,419042,16368899,"1,484 km2 (573 sq mi)","11,297/km2 (29,260/sq mi)",868
627,04-04-2020,6:00 PM,Goa,-,-,0,0,7,11,31,4,2,3,40,2666,17,1405,25,1608,25,1458545,551731,906814,"3,702 km2 (1,429 sq mi)","394/km2 (1,020/sq mi)",973
628,04-04-2020,6:00 PM,Gujarat,-,-,14,10,105,12,1770,385,44,37,2236,41129,364,11715,122,20565,9,60439692,34694609,25745083,"196,024 km2 (75,685 sq mi)",308/km2 (800/sq mi),919
629,04-04-2020,6:00 PM,Haryana,-,-,24,0,49,13,500,131,24,28,683,13841,609,6690,59,4550,18,25351462,16509359,8842103,"44,212 km2 (17,070 sq mi)","573/km2 (1,480/sq mi)",879
630,04-04-2020,6:00 PM,Himachal Pradesh,-,-,1,1,6,14,516,79,61,15,671,8706,705,5665,96,6734,20,6864602,6176050,688552,"55,673 km2 (21,495 sq mi)",123/km2 (320/sq mi),972
631,04-04-2020,6:00 PM,Jammu and Kashmir,-,-,3,2,75,,,,,,,,,,,,,,,,,,
632,04-04-2020,6:00 PM,Jharkhand,-,-,0,0,2,16,343,179,13,23,558,7404,519,5842,36,4942,14,32988134,25055073,7933061,"79,714 km2 (30,778 sq mi)","414/km2 (1,070/sq mi)",948
633,04-04-2020,6:00 PM,Karnataka,-,-,12,3,128,17,2547,207,147,42,2943,56333,2471,21072,374,49093,8,61095297,37469335,23625962,"191,791 km2 (74,051 sq mi)",319/km2 (830/sq mi),973
634,04-04-2020,6:00 PM,Kerala,-,-,41,2,295,18,933,229,82,53,1297,39511,981,16865,299,21139,13,33406061,17471135,15934926,"38,863 km2 (15,005 sq mi)","859/km2 (2,220/sq mi)",1084
635,04-04-2020,6:00 PM,Ladakh,-,-,3,0,14,,,,,,,,,,,,,,,,,,
636,04-04-2020,6:00 PM,Madhya Pradesh,-,-,0,6,104,20,1420,324,72,51,1867,38140,334,10020,117,18819,5,72626809,52557404,20069405,"308,245 km2 (119,014 sq mi)",236/km2 (610/sq mi),931
637,04-04-2020,6:00 PM,Maharashtra,-,-,42,24,490,21,2638,430,101,70,3239,68998,273,12398,438,39048,2,112374333,61556074,50818259,"307,713 km2 (118,809 sq mi)",365/km2 (950/sq mi),929
638,04-04-2020,6:00 PM,Manipur,-,-,0,0,2,22,87,17,1,9,114,2562,23,730,7,697,23,2570390,1793875,776515,"22,327 km2 (8,621 sq mi)",122/km2 (320/sq mi),992
639,04-04-2020,6:00 PM,Mizoram,-,-,0,0,1,24,65,10,3,9,87,2312,56,604,34,1393,27,1097206,525435,571771,"21,081 km2 (8,139 sq mi)",52/km2 (130/sq mi),976
640,04-04-2020,6:00 PM,Odisha,-,-,0,0,5,26,1360,377,27,35,1799,16497,1655,6339,149,12180,11,41974218,34970562,7003656,"155,707 km2 (60,119 sq mi)",269/km2 (700/sq mi),979
641,04-04-2020,6:00 PM,Puducherry,-,-,1,0,5,27,40,4,5,4,53,4462,3,96,11,3473,31,1247953,395200,852753,479 km2 (185 sq mi),"2,598/km2 (6,730/sq mi)",1037
642,04-04-2020,6:00 PM,Punjab,-,-,1,5,57,28,521,146,47,28,742,13527,510,5805,172,12128,16,27743338,17344192,10399146,"50,362 km2 (19,445 sq mi)","550/km2 (1,400/sq mi)",895
643,04-04-2020,6:00 PM,Rajasthan,-,-,21,0,200,29,2463,579,64,33,3139,51844,602,21088,150,10760,7,68548437,51500352,17048085,"342,239 km2 (132,139 sq mi)",201/km2 (520/sq mi),928
644,04-04-2020,6:00 PM,Tamil Nadu,-,-,6,2,411,31,1854,385,310,32,2581,72616,692,40179,525,37353,6,72147030,37229590,34917440,"130,058 km2 (50,216 sq mi)","555/km2 (1,440/sq mi)",996
645,04-04-2020,6:00 PM,Telengana,-,-,1,7,159,,,,,,,,,,,,,,,,,,
646,04-04-2020,6:00 PM,Uttarakhand,-,-,2,0,16,35,275,69,19,20,383,6660,410,3284,50,5228,19,10086292,7036954,3049338,"53,483 km2 (20,650 sq mi)",189/km2 (490/sq mi),963
647,04-04-2020,6:00 PM,Uttar Pradesh,-,-,19,2,174,34,3277,671,,174,4122,58310,4442,39104,193,37156,1,199812341,155317278,44495063,"240,928 km2 (93,023 sq mi)","828/km2 (2,140/sq mi)",912
648,04-04-2020,6:00 PM,West Bengal,-,-,3,3,69,36,1374,406,70,55,1905,51163,1272,19684,294,58882,4,91276115,62183113,29093002,"88,752 km2 (34,267 sq mi)","1,029/km2 (2,670/sq mi)",953
649,05-04-2020,6:00 PM,Andhra Pradesh,-,-,1,1,190,2,1417,198,31,20,1666,60799,193,6480,65,16658,10,49577103,34966693,14610410,"162,968 km2 (62,922 sq mi)",303/km2 (780/sq mi),993
650,05-04-2020,6:00 PM,Andaman and Nicobar Islands,-,-,0,0,10,,,,,,,,,,,,,,,,,,
651,05-04-2020,6:00 PM,Arunachal Pradesh,-,-,0,0,1,3,122,62,,15,199,2320,208,2136,10,268,26,1383727,1066358,317369,"83,743 km2 (32,333 sq mi)",17/km2 (44/sq mi),938
652,05-04-2020,6:00 PM,Assam,-,-,0,0,26,4,1007,166,14,33,1220,19115,1176,10944,50,6198,15,31205576,26807034,4398542,"78,438 km2 (30,285 sq mi)","397/km2 (1,030/sq mi)",954
653,05-04-2020,6:00 PM,Bihar,-,-,0,1,30,5,2007,63,33,43,2146,17796,930,6083,103,5936,3,104099452,92341436,11758016,"94,163 km2 (36,357 sq mi)","1,102/km2 (2,850/sq mi)",918
654,05-04-2020,6:00 PM,Chandigarh,-,-,0,0,18,6,40,2,1,4,47,3756,0,0,4,778,32,1055450,28991,1026459,114 km2 (44 sq mi),"9,252/km2 (23,960/sq mi)",818
655,05-04-2020,6:00 PM,Chhattisgarh,-,-,3,0,9,7,813,166,12,32,1023,14354,169,5070,45,4342,17,25545198,19607961,5937237,"135,191 km2 (52,198 sq mi)",189/km2 (490/sq mi),991
