Sno,Date,Time,State/UnionTerritory,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed,NumPrimaryHealthCenters_HMIS,NumCommunityHealthCenters_HMIS,NumSubDistrictHospitals_HMIS,NumDistrictHospitals_HMIS,TotalPublicHealthFacilities_HMIS,NumPublicBeds_HMIS,NumRuralHospitals_NHP18,NumRuralBeds_NHP18,NumUrbanHospitals_NHP18,NumUrbanBeds_NHP18,Population,Rural population,Urban population,Area,Density,Gender Ratio
48,05-03-2020,6:00 PM,Kerala,3,0,3,0,3,933.0,229.0,82.0,53.0,1297.0,39511.0,981.0,16865.0,299.0,21139.0,33406061.0,17471135.0,15934926.0,"38,863 km2 (15,005 sq mi)","859/km2 (2,220/sq mi)",1084.0
49,05-03-2020,6:00 PM,Rajasthan,1,14,0,0,15,2463.0,579.0,64.0,33.0,3139.0,51844.0,602.0,21088.0,150.0,10760.0,68548437.0,51500352.0,17048085.0,"342,239 km2 (132,139 sq mi)",201/km2 (520/sq mi),928.0
50,05-03-2020,6:00 PM,Telengana,1,0,0,0,1,788.0,82.0,47.0,15.0,932.0,17358.0,802.0,7668.0,61.0,13315.0,,,,,,
51,05-03-2020,6:00 PM,Uttar Pradesh,7,0,0,0,7,3277.0,671.0,,174.0,4122.0,58310.0,4442.0,39104.0,193.0,37156.0,199812341.0,155317278.0,44495063.0,"240,928 km2 (93,023 sq mi)","828/km2 (2,140/sq mi)",912.0
52,06-03-2020,6:00 PM,Delhi,3,0,0,0,3,534.0,25.0,9.0,47.0,615.0,20572.0,0.0,0.0,109.0,24383.0,16787941.0,419042.0,16368899.0,"1,484 km2 (573 sq mi)","11,297/km2 (29,260/sq mi)",868.0
53,06-03-2020,6:00 PM,Haryana,0,2,0,0,2,500.0,131.0,24.0,28.0,683.0,13841.0,609.0,6690.0,59.0,4550.0,25351462.0,16509359.0,8842103.0,"44,212 km2 (17,070 sq mi)","573/km2 (1,480/sq mi)",879.0
54,06-03-2020,6:00 PM,Kerala,3,0,3,0,3,933.0,229.0,82.0,53.0,1297.0,39511.0,981.0,16865.0,299.0,21139.0,33406061.0,17471135.0,15934926.0,"38,863 km2 (15,005 sq mi)","859/km2 (2,220/sq mi)",1084.0
55,06-03-2020,6:00 PM,Rajasthan,1,14,0,0,15,2463.0,579.0,64.0,33.0,3139.0,51844.0,602.0,21088.0,150.0,10760.0,68548437.0,51500352.0,17048085.0,"342,239 km2 (132,139 sq mi)",201/km2 (520/sq mi),928.0
56,06-03-2020,6:00 PM,Uttar Pradesh,7,0,0,0,7,3277.0,671.0,,174.0,4122.0,58310.0,4442.0,39104.0,193.0,37156.0,199812341.0,155317278.0,44495063.0,"240,928 km2 (93,023 sq mi)","828/km2 (2,140/sq mi)",912.0
57,06-03-2020,6:00 PM,Telengana,1,0,0,0,1,788.0,82.0,47.0,15.0,932.0,17358.0,802.0,7668.0,61.0,13315.0,,,,,,
58,07-03-2020,6:00 PM,Kerala,3,0,3,0,3,933.0,229.0,82.0,53.0,1297.0,39511.0,981.0,16865.0,299.0,21139.0,33406061.0,17471135.0,15934926.0,"38,863 km2 (15,005 sq mi)","859/km2 (2,220/sq mi)",1084.0
59,07-03-2020,6:00 PM,Uttar Pradesh,7,0,0,0,7,3277.0,671.0,,174.0,4122.0,58310.0,4442.0,39104.0,193.0,37156.0,199812341.0,155317278.0,44495063.0,"240,928 km2 (93,023 sq mi)","828/km2 (2,140/sq mi)",912.0
60,07-03-2020,6:00 PM,Ladakh,2,0,0,0,2,,,,,,,,,,,,,,,,
61,07-03-2020,6:00 PM,Telengana,1,0,0,0,1,788.0,82.0,47.0,15.0,932.0,17358.0,802.0,7668.0,61.0,13315.0,,,,,,
62,07-03-2020,6:00 PM,Tamil Nadu,1,0,0,0,1,1854.0,385.0,310.0,32.0,2581.0,72616.0,692.0,40179.0,525.0,37353.0,72147030.0,37229590.0,34917440.0,"130,058 km2 (50,216 sq mi)","555/km2 (1,440/sq mi)",996.0
63,07-03-2020,6:00 PM,Delhi,3,0,0,0,3,534.0,25.0,9.0,47.0,615.0,20572.0,0.0,0.0,109.0,24383.0,16787941.0,419042.0,16368899.0,"1,484 km2 (573 sq mi)","11,297/km2 (29,260/sq mi)",868.0
64,07-03-2020,6:00 PM,Haryana,0,2,0,0,2,500.0,131.0,24.0,28.0,683.0,13841.0,609.0,6690.0,59.0,4550.0,25351462.0,16509359.0,8842103.0,"44,212 km2 (17,070 sq mi)","573/km2 (1,480/sq mi)",879.0
65,07-03-2020,6:00 PM,Rajasthan,1,14,0,0,15,2463.0,579.0,64.0,33.0,3139.0,51844.0,602.0,21088.0,150.0,10760.0,68548437.0,51500352.0,17048085.0,"342,239 km2 (132,139 sq mi)",201/km2 (520/sq mi),928.0
66,08-03-2020,6:00 PM,Ladakh,2,0,0,0,2,,,,,,,,,,,,,,,,
67,08-03-2020,6:00 PM,Telengana,1,0,0,0,1,788.0,82.0,47.0,15.0,932.0,17358.0,802.0,7668.0,61.0,13315.0,,,,,,
68,08-03-2020,6:00 PM,Tamil Nadu,1,0,0,0,1,1854.0,385.0,310.0,32.0,2581.0,72616.0,692.0,40179.0,525.0,37353.0,72147030.0,37229590.0,34917440.0,"130,058 km2 (50,216 sq mi)","555/km2 (1,440/sq mi)",996.0
69,08-03-2020,6:00 PM,Rajasthan,1,14,0,0,15,2463.0,579.0,64.0,33.0,3139.0,51844.0,602.0,21088.0,150.0,10760.0,68548437.0,51500352.0,17048085.0,"342,239 km2 (132,139 sq mi)",201/km2 (520/sq mi),928.0
70,08-03-2020,6:00 PM,Kerala,8,0,3,0,8,933.0,229.0,82.0,53.0,1297.0,39511.0,981.0,16865.0,299.0,21139.0,33406061.0,17471135.0,15934926.0,"38,863 km2 (15,005 sq mi)","859/km2 (2,220/sq mi)",1084.0
71,08-03-2020,6:00 PM,Haryana,0,2,0,0,2,500.0,131.0,24.0,28.0,683.0,13841.0,609.0,6690.0,59.0,4550.0,25351462.0,16509359.0,8842103.0,"44,212 km2 (17,070 sq mi)","573/km2 (1,480/sq mi)",879.0
72,08-03-2020,6:00 PM,Delhi,3,0,0,0,3,534.0,25.0,9.0,47.0,615.0,20572.0,0.0,0.0,109.0,24383.0,16787941.0,419042.0,16368899.0,"1,484 km2 (573 sq mi)","11,297/km2 (29,260/sq mi)",868.0
73,08-03-2020,6:00 PM,Uttar Pradesh,7,0,0,0,7,3277.0,671.0,,174.0,4122.0,58310.0,4442.0,39104.0,193.0,37156.0,199812341.0,155317278.0,44495063.0,"240,928 km2 (93,023 sq mi)","828/km2 (2,140/sq mi)",912.0
74,09-03-2020,6:00 PM,Ladakh,2,0,0,0,2,,,,,,,,,,,,,,,,
75,09-03-2020,6:00 PM,Karnataka,1,0,0,0,1,2547.0,207.0,147.0,42.0,2943.0,56333.0,2471.0,21072.0,374.0,49093.0,61095297.0,37469335.0,23625962.0,"191,791 km2 (74,051 sq mi)",319/km2 (830/sq mi),973.0
76,09-03-2020,6:00 PM,Kerala,9,0,3,0,9,933.0,229.0,82.0,53.0,1297.0,39511.0,981.0,16865.0,299.0,21139.0,33406061.0,17471135.0,15934926.0,"38,863 km2 (15,005 sq mi)","859/km2 (2,220/sq mi)",1084.0
77,09-03-2020,6:00 PM,Maharashtra,2,0,0,0,2,2638.0,430.0,101.0,70.0,3239.0,68998.0,273.0,12398.0,438.0,39048.0,112374333.0,61556074.0,50818259.0,"307,713 km2 (118,809 sq mi)",365/km2 (950/sq mi),929.0
78,09-03-2020,6:00 PM,Punjab,1,0,0,0,1,521.0,146.0,47.0,28.0,742.0,13527.0,510.0,5805.0,172.0,12128.0,27743338.0,17344192.0,10399146.0,"50,362 km2 (19,445 sq mi)","550/km2 (1,400/sq mi)",895.0
79,09-03-2020,6:00 PM,Rajasthan,1,14,0,0,15,2463.0,579.0,64.0,33.0,3139.0,51844.0,602.0,21088.0,150.0,10760.0,68548437.0,51500352.0,17048085.0,"342,239 km2 (132,139 sq mi)",201/km2 (520/sq mi),928.0
80,09-03-2020,6:00 PM,Tamil Nadu,1,0,0,0,1,1854.0,385.0,310.0,32.0,2581.0,72616.0,692.0,40179.0,525.0,37353.0,72147030.0,37229590.0,34917440.0,"130,058 km2 (50,216 sq mi)","555/km2 (1,440/sq mi)",996.0
81,09-03-2020,6:00 PM,Telengana,1,0,0,0,1,788.0,82.0,47.0,15.0,932.0,17358.0,802.0,7668.0,61.0,13315.0,,,,,,
82,09-03-2020,6:00 PM,Jammu and Kashmir,1,0,0,0,1,,,,,,,,,,,,,,,,
83,09-03-2020,6:00 PM,Uttar Pradesh,7,0,0,0,7,3277.0,671.0,,174.0,4122.0,58310.0,4442.0,39104.0,193.0,37156.0,199812341.0,155317278.0,44495063.0,"240,928 km2 (93,023 sq mi)","828/km2 (2,140/sq mi)",912.0
84,09-03-2020,6:00 PM,Haryana,0,2,0,0,2,500.0,131.0,24.0,28.0,683.0,13841.0,609.0,6690.0,59.0,4550.0,25351462.0,16509359.0,8842103.0,"44,212 km2 (17,070 sq mi)","573/km2 (1,480/sq mi)",879.0
85,09-03-2020,6:00 PM,Delhi,4,0,0,0,4,534.0,25.0,9.0,47.0,615.0,20572.0,0.0,0.0,109.0,24383.0,16787941.0,419042.0,16368899.0,"1,484 km2 (573 sq mi)","11,297/km2 (29,260/sq mi)",868.0
86,10-03-2020,6:00 PM,Uttar Pradesh,7,0,0,0,7,3277.0,671.0,,174.0,4122.0,58310.0,4442.0,39104.0,193.0,37156.0,199812341.0,155317278.0,44495063.0,"240,928 km2 (93,023 sq mi)","828/km2 (2,140/sq mi)",912.0
87,10-03-2020,6:00 PM,Ladakh,2,0,0,0,2,,,,,,,,,,,,,,,,
88,10-03-2020,6:00 PM,Delhi,4,0,0,0,4,534.0,25.0,9.0,47.0,615.0,20572.0,0.0,0.0,109.0,24383.0,16787941.0,419042.0,16368899.0,"1,484 km2 (573 sq mi)","11,297/km2 (29,260/sq mi)",868.0
89,10-03-2020,6:00 PM,Haryana,0,2,0,0,2,500.0,131.0,24.0,28.0,683.0,13841.0,609.0,6690.0,59.0,4550.0,25351462.0,16509359.0,8842103.0,"44,212 km2 (17,070 sq mi)","573/km2 (1,480/sq mi)",879.0
90,10-03-2020,6:00 PM,Karnataka,4,0,0,0,4,2547.0,207.0,147.0,42.0,2943.0,56333.0,2471.0,21072.0,374.0,49093.0,61095297.0,37469335.0,23625962.0,"191,791 km2 (74,051 sq mi)",319/km2 (830/sq mi),973.0
91,10-03-2020,6:00 PM,Kerala,15,0,3,0,15,933.0,229.0,82.0,53.0,1297.0,39511.0,981.0,16865.0,299.0,21139.0,33406061.0,17471135.0,15934926.0,"38,863 km2 (15,005 sq mi)","859/km2 (2,220/sq mi)",1084.0
92,10-03-2020,6:00 PM,Maharashtra,5,0,0,0,5,2638.0,430.0,101.0,70.0,3239.0,68998.0,273.0,12398.0,438.0,39048.0,112374333.0,61556074.0,50818259.0,"307,713 km2 (118,809 sq mi)",365/km2 (950/sq mi),929.0
93,10-03-2020,6:00 PM,Punjab,1,0,0,0,1,521.0,146.0,47.0,28.0,742.0,13527.0,510.0,5805.0,172.0,12128.0,27743338.0,17344192.0,10399146.0,"50,362 km2 (19,445 sq mi)","550/km2 (1,400/sq mi)",895.0
94,10-03-2020,6:00 PM,Rajasthan,1,14,0,0,15,2463.0,579.0,64.0,33.0,3139.0,51844.0,602.0,21088.0,150.0,10760.0,68548437.0,51500352.0,17048085.0,"342,239 km2 (132,139 sq mi)",201/km2 (520/sq mi),928.0
95,10-03-2020,6:00 PM,Tamil Nadu,1,0,0,0,1,1854.0,385.0,310.0,32.0,2581.0,72616.0,692.0,40179.0,525.0,37353.0,72147030.0,37229590.0,34917440.0,"130,058 km2 (50,216 sq mi)","555/km2 (1,440/sq mi)",996.0
96,10-03-2020,6:00 PM,Telengana,1,0,0,0,1,788.0,82.0,47.0,15.0,932.0,17358.0,802.0,7668.0,61.0,13315.0,,,,,,
97,10-03-2020,6:00 PM,Jammu and Kashmir,1,0,0,0,1,,,,,,,,,,,,,,,,
98,11-03-2020,6:00 PM,Maharashtra,2,0,0,0,2,2638.0,430.0,101.0,70.0,3239.0,68998.0,273.0,12398.0,438.0,39048.0,112374333.0,61556074.0,50818259.0,"307,713 km2 (118,809 sq mi)",365/km2 (950/sq mi),929.0
99,11-03-2020,6:00 PM,Delhi,5,0,0,0,5,534.0,25.0,9.0,47.0,615.0,20572.0,0.0,0.0,109.0,24383.0,16787941.0,419042.0,16368899.0,"1,484 km2 (573 sq mi)","11,297/km2 (29,260/sq mi)",868.0
100,11-03-2020,6:00 PM,Haryana,0,14,0,0,14,500.0,131.0,24.0,28.0,683.0,13841.0,609.0,6690.0,59.0,4550.0,25351462.0,16509359.0,8842103.0,"44,212 km2 (17,070 sq mi)","573/km2 (1,480/sq mi)",879.0
101,11-03-2020,6:00 PM,Kerala,17,0,3,0,17,933.0,229.0,82.0,53.0,1297.0,39511.0,981.0,16865.0,299.0,21139.0,33406061.0,17471135.0,15934926.0,"38,863 km2 (15,005 sq mi)","859/km2 (2,220/sq mi)",1084.0
102,11-03-2020,6:00 PM,Rajasthan,1,2,0,0,3,2463.0,579.0,64.0,33.0,3139.0,51844.0,602.0,21088.0,150.0,10760.0,68548437.0,51500352.0,17048085.0,"342,239 km2 (132,139 sq mi)",201/km2 (520/sq mi),928.0
103,11-03-2020,6:00 PM,Telengana,1,0,0,0,1,788.0,82.0,47.0,15.0,932.0,17358.0,802.0,7668.0,61.0,13315.0,,,,,,
104,11-03-2020,6:00 PM,Uttar Pradesh,9,0,0,0,9,3277.0,671.0,,174.0,4122.0,58310.0,4442.0,39104.0,193.0,37156.0,199812341.0,155317278.0,44495063.0,"240,928 km2 (93,023 sq mi)","828/km2 (2,140/sq mi)",912.0
105,11-03-2020,6:00 PM,Ladakh,2,0,0,0,2,,,,,,,,,,,,,,,,
106,11-03-2020,6:00 PM,Tamil Nadu,1,0,0,0,1,1854.0,385.0,310.0,32.0,2581.0,72616.0,692.0,40179.0,525.0,37353.0,72147030.0,37229590.0,34917440.0,"130,058 km2 (50,216 sq mi)","555/km2 (1,440/sq mi)",996.0
107,11-03-2020,6:00 PM,Jammu and Kashmir,1,0,0,0,1,,,,,,,,,,,,,,,,
108,11-03-2020,6:00 PM,Punjab,1,0,0,0,1,521.0,146.0,47.0,28.0,742.0,13527.0,510.0,5805.0,172.0,12128.0,27743338.0,17344192.0,10399146.0,"50,362 km2 (19,445 sq mi)","550/km2 (1,400/sq mi)",895.0
